source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
70159;Issue;14340;Component;IssueComponent;NULL
70159;Issue;14640;Version;IssueFixVersion;NULL
70159;Issue;14640;Version;IssueVersion;NULL
70159;Issue;15304;Version;IssueFixVersion;NULL
70160;Issue;13937;Component;IssueComponent;NULL
70161;Issue;12511;Component;IssueComponent;NULL
70161;Issue;15122;Version;IssueVersion;NULL
70161;Issue;15403;Version;IssueFixVersion;NULL
70161;Issue;15409;Version;IssueFixVersion;NULL
70162;Issue;12442;Component;IssueComponent;NULL
70162;Issue;12512;Component;IssueComponent;NULL
70162;Issue;12513;Component;IssueComponent;NULL
70162;Issue;15018;Version;IssueFixVersion;NULL
70162;Issue;15122;Version;IssueVersion;NULL
70163;Issue;12511;Component;IssueComponent;NULL
70163;Issue;12514;Component;IssueComponent;NULL
70163;Issue;12803;Component;IssueComponent;NULL
70163;Issue;15122;Version;IssueVersion;NULL
70163;Issue;16001;Version;IssueFixVersion;NULL
70164;Issue;12441;Component;IssueComponent;NULL
70164;Issue;12516;Component;IssueComponent;NULL
70164;Issue;12517;Component;IssueComponent;NULL
70164;Issue;15122;Version;IssueVersion;NULL
70164;Issue;15626;Version;IssueFixVersion;NULL
70166;Issue;12511;Component;IssueComponent;NULL
70166;Issue;12514;Component;IssueComponent;NULL
70166;Issue;12803;Component;IssueComponent;NULL
70166;Issue;15122;Version;IssueVersion;NULL
70166;Issue;15309;Version;IssueFixVersion;NULL
70168;Issue;12511;Component;IssueComponent;NULL
70168;Issue;12514;Component;IssueComponent;NULL
70168;Issue;12803;Component;IssueComponent;NULL
70168;Issue;15122;Version;IssueVersion;NULL
70168;Issue;15309;Version;IssueFixVersion;NULL
70169;Issue;14340;Component;IssueComponent;NULL
70169;Issue;14640;Version;IssueFixVersion;NULL
70169;Issue;14640;Version;IssueVersion;NULL
70169;Issue;15304;Version;IssueFixVersion;NULL
70170;Issue;12515;Component;IssueComponent;NULL
70170;Issue;15122;Version;IssueVersion;NULL
70173;Issue;12511;Component;IssueComponent;NULL
70173;Issue;12531;Component;IssueComponent;NULL
70173;Issue;13512;Version;IssueFixVersion;NULL
70173;Issue;15122;Version;IssueVersion;NULL
70178;Issue;13616;Component;IssueComponent;NULL
70178;Issue;15120;Version;IssueFixVersion;NULL
70178;Issue;15204;Version;IssueVersion;NULL
70179;Issue;15009;Version;IssueFixVersion;NULL
70180;Issue;12516;Component;IssueComponent;NULL
70180;Issue;13512;Version;IssueVersion;NULL
70180;Issue;15313;Version;IssueFixVersion;NULL
70181;Issue;13616;Component;IssueComponent;NULL
70181;Issue;14640;Version;IssueFixVersion;NULL
70181;Issue;14640;Version;IssueVersion;NULL
70181;Issue;15304;Version;IssueFixVersion;NULL
70183;Issue;14100;Component;IssueComponent;NULL
70183;Issue;14803;Version;IssueFixVersion;NULL
70186;Issue;14725;Version;IssueFixVersion;NULL
70187;Issue;12901;Component;IssueComponent;NULL
70188;Issue;14924;Version;IssueFixVersion;NULL
70189;Issue;12901;Component;IssueComponent;NULL
70190;Issue;14632;Version;IssueFixVersion;NULL
70191;Issue;11205;Component;IssueComponent;NULL
70191;Issue;12005;Version;IssueFixVersion;NULL
70192;Issue;13616;Component;IssueComponent;NULL
70192;Issue;15120;Version;IssueFixVersion;NULL
70194;Issue;12444;Component;IssueComponent;NULL
70194;Issue;15122;Version;IssueVersion;NULL
70195;Issue;14012;Component;IssueComponent;NULL
70196;Issue;12511;Component;IssueComponent;NULL
70196;Issue;13515;Component;IssueComponent;NULL
